"id","eticheta"
-1, "All"
0,"Newborns"
1,"1 year"
2,"2 year"
3,"3 year"
4,"4 year"
5,"5 year"
6,"6 year"
7,"7 year"
8,"8 year"
9,"9 year"
10,"10 year"
11,"11 year"
12,"12 year"
13,"13 year"
14,"14 year"
15,"15 year"
16,"16 year"
17,"17 year"
18,"18 year"
19,"19 year"
20,"20 year"
21,"21 year"
22,"22 year"
23,"23 year"
24,"24 year"
25,"25 year"
26,"26 year"
27,"27 year"
28,"28 year"
29,"29 year"
30,"30 year"
31,"31 year"
32,"32 year"
33,"33 year"
34,"34 year"
35,"35 year"
36,"36 year"
37,"37 year"
38,"38 year"
39,"39 year"
40,"40 year"
41,"41 year"
42,"42 year"
43,"43 year"
44,"44 year"
45,"45 year"
46,"46 year"
47,"47 year"
48,"48 year"
49,"49 year"
50,"50 year"
51,"51 year"
52,"52 year"
53,"53 year"
54,"54 year"
55,"55 year"
56,"56 year"
57,"57 year"
58,"58 year"
59,"59 year"
60,"60 year"
61,"61 year"
62,"62 year"
63,"63 year"
64,"64 year"
65,"65 year"
66,"66 year"
67,"67 year"
68,"68 year"
69,"69 year"
70,"70 year"
71,"71 year"
72,"72 year"
73,"73 year"
74,"74 year"
75,"75 year"
76,"76 year"
77,"77 year"
78,"78 year"
79,"79 year"
80,"80 year"
81,"81 year"
82,"82 year"
83,"83 year"
84,"84 year"
85,"85 year"
86,"85+ year"
